date,ticker,open,high,low,close,adj_close,volume
,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
2015-01-02,^IXIC,4760.240234375,4777.009765625,4698.10986328125,4726.81005859375,4726.81005859375,1435150000
2015-01-05,^IXIC,4700.33984375,4702.77001953125,4641.4599609375,4652.56982421875,4652.56982421875,1794470000
2015-01-06,^IXIC,4666.85009765625,4667.330078125,4567.58984375,4592.740234375,4592.740234375,2167320000
2015-01-07,^IXIC,4626.83984375,4652.72021484375,4613.89990234375,4650.47021484375,4650.47021484375,1957950000
2015-01-08,^IXIC,4689.5400390625,4741.3798828125,4688.02001953125,4736.18994140625,4736.18994140625,2105450000
2015-01-09,^IXIC,4744.47021484375,4744.7099609375,4681.240234375,4704.06982421875,4704.06982421875,1715830000
2015-01-12,^IXIC,4714.06982421875,4715.81005859375,4650.64990234375,4664.7099609375,4664.7099609375,1861960000
2015-01-13,^IXIC,4708.740234375,4751.33984375,4624.27978515625,4661.5,4661.5,2162180000
2015-01-14,^IXIC,4610.759765625,4655.3701171875,4595.97998046875,4639.31982421875,4639.31982421875,2073810000
2015-01-15,^IXIC,4657.4599609375,4663.9599609375,4567.39013671875,4570.81982421875,4570.81982421875,1976260000
2015-01-16,^IXIC,4566.3798828125,4635.81982421875,4563.10986328125,4634.3798828125,4634.3798828125,1970520000
2015-01-20,^IXIC,4655.83984375,4665.64990234375,4601.10009765625,4654.85009765625,4654.85009765625,1835040000
2015-01-21,^IXIC,4641.9501953125,4692.4599609375,4629.58984375,4667.419921875,4667.419921875,1847420000
2015-01-22,^IXIC,4690.93017578125,4752.60009765625,4644.56982421875,4750.39990234375,4750.39990234375,1996550000
2015-01-23,^IXIC,4748.18994140625,4771.18017578125,4737.9501953125,4757.8798828125,4757.8798828125,1653830000
2015-01-26,^IXIC,4752.35986328125,4774.18017578125,4734.2001953125,4771.759765625,4771.759765625,1717510000
2015-01-27,^IXIC,4698.22998046875,4721.8701171875,4659.830078125,4681.5,4681.5,1954160000
2015-01-28,^IXIC,4740.68994140625,4742.06005859375,4637.47998046875,4637.990234375,4637.990234375,2118680000
2015-01-29,^IXIC,4635.72998046875,4688.41015625,4601.759765625,4683.41015625,4683.41015625,2110710000
2015-01-30,^IXIC,4671.2099609375,4703.81005859375,4631.10009765625,4635.240234375,4635.240234375,2264230000
2015-02-02,^IXIC,4650.60009765625,4676.68994140625,4580.4599609375,4676.68994140625,4676.68994140625,2006450000
2015-02-03,^IXIC,4693.25,4727.740234375,4670.81982421875,4727.740234375,4727.740234375,2153520000
2015-02-04,^IXIC,4699.81005859375,4744.330078125,4697.7900390625,4716.7001953125,4716.7001953125,2212960000
2015-02-05,^IXIC,4729.64990234375,4767.3798828125,4722.7998046875,4765.10009765625,4765.10009765625,2036590000
2015-02-06,^IXIC,4768.83984375,4787.18017578125,4731.22021484375,4744.39990234375,4744.39990234375,2034060000
2015-02-09,^IXIC,4723.72998046875,4749.47021484375,4719.60986328125,4726.009765625,4726.009765625,1654680000
