date,ticker,open,high,low,close,adj_close,volume
,,^TNX,^TNX,^TNX,^TNX,^TNX,^TNX
2026-07-23,^TNX,4.698999881744385,4.714000225067139,4.692999839782715,4.703000068664551,4.703000068664551,0
2026-07-24,^TNX,4.683000087738037,4.690999984741211,4.651000022888184,4.678999900817871,4.678999900817871,0
2026-07-27,^TNX,4.646999835968018,4.664999961853027,4.630000114440918,4.640999794006348,4.640999794006348,0
2026-07-28,^TNX,4.630000114440918,4.635000228881836,4.5879998207092285,4.604000091552734,4.604000091552734,0
2026-07-29,^TNX,4.63700008392334,4.65500020980835,4.610000133514404,4.622000217437744,4.622000217437744,0
2026-07-30,^TNX,4.669000148773193,4.685999870300293,4.651000022888184,4.663000106811523,4.663000106811523,0
2026-08-03,^TNX,4.671000003814697,4.702000141143799,4.671000003814697,4.685999870300293,4.685999870300293,0
2026-08-04,^TNX,4.664999961853027,4.668000221252441,4.61899995803833,4.626999855041504,4.626999855041504,0
2026-08-05,^TNX,4.609000205993652,4.638999938964844,4.60699987411499,4.617000102996826,4.617000102996826,0
2026-08-06,^TNX,4.64300012588501,4.676000118255615,4.635000228881836,4.670000076293945,4.670000076293945,0
2026-08-07,^TNX,4.664000034332275,4.671999931335449,4.603000164031982,4.659999847412109,4.659999847412109,0
2026-08-10,^TNX,4.6620001792907715,4.703000068664551,4.6620001792907715,4.698999881744385,4.698999881744385,0
2026-08-11,^TNX,4.691999912261963,4.703000068664551,4.668000221252441,4.684000015258789,4.684000015258789,0
2026-08-12,^TNX,4.659999847412109,4.688000202178955,4.645999908447266,4.682000160217285,4.682000160217285,0
2026-08-13,^TNX,4.674000263214111,4.675999641418457,4.61299991607666,4.640999794006348,4.640999794006348,0
