date,ticker,open,high,low,close,adj_close,volume
,,^N225,^N225,^N225,^N225,^N225,^N225
2015-01-05,^N225,17325.6796875,17540.919921875,17219.220703125,17408.7109375,17408.7109375,116500000
2015-01-06,^N225,17101.580078125,17111.359375,16881.73046875,16883.189453125,16883.189453125,166000000
2015-01-07,^N225,16808.259765625,16974.609375,16808.259765625,16885.330078125,16885.330078125,138600000
2015-01-08,^N225,17067.400390625,17243.7109375,17016.08984375,17167.099609375,17167.099609375,140600000
2015-01-09,^N225,17318.740234375,17342.650390625,17129.529296875,17197.73046875,17197.73046875,155200000
2015-01-13,^N225,16970.880859375,17087.7109375,16828.26953125,17087.7109375,17087.7109375,149200000
2015-01-14,^N225,16961.8203125,17036.720703125,16770.560546875,16795.9609375,16795.9609375,148500000
2015-01-15,^N225,16872.94921875,17141.98046875,16856.220703125,17108.69921875,17108.69921875,147700000
2015-01-16,^N225,16812.9609375,16864.33984375,16592.5703125,16864.16015625,16864.16015625,171100000
2015-01-19,^N225,17000.779296875,17039.80078125,16911.580078125,17014.2890625,17014.2890625,128000000
2015-01-20,^N225,17071.650390625,17366.30078125,17066.76953125,17366.30078125,17366.30078125,133000000
2015-01-21,^N225,17308.720703125,17329.029296875,17181.55078125,17280.48046875,17280.48046875,136000000
2015-01-22,^N225,17306.640625,17355.740234375,17229.2109375,17329.01953125,17329.01953125,121900000
2015-01-23,^N225,17520.630859375,17532.060546875,17460.759765625,17511.75,17511.75,132500000
2015-01-26,^N225,17285.7109375,17471.939453125,17285.7109375,17468.51953125,17468.51953125,111600000
2015-01-27,^N225,17649.400390625,17768.41015625,17633.470703125,17768.30078125,17768.30078125,139700000
2015-01-28,^N225,17615.9296875,17850.58984375,17615.9296875,17795.73046875,17795.73046875,141900000
2015-01-29,^N225,17666.91015625,17778.830078125,17575.099609375,17606.220703125,17606.220703125,140000000
2015-01-30,^N225,17788.740234375,17808.470703125,17661.099609375,17674.390625,17674.390625,173500000
2015-02-02,^N225,17536.609375,17628.400390625,17459.44921875,17558.0390625,17558.0390625,136000000
2015-02-03,^N225,17654.599609375,17654.599609375,17271.869140625,17335.849609375,17335.849609375,169600000
2015-02-04,^N225,17549.30078125,17743.109375,17535.0390625,17678.740234375,17678.740234375,187000000
2015-02-05,^N225,17589.2109375,17619.33984375,17484.669921875,17504.619140625,17504.619140625,185000000
2015-02-06,^N225,17696.1796875,17700.669921875,17603.0703125,17648.5,17648.5,142500000
2015-02-09,^N225,17790.310546875,17799.490234375,17653.609375,17711.9296875,17711.9296875,129500000
2015-02-10,^N225,17662.669921875,17673.26953125,17550.029296875,17652.6796875,17652.6796875,123900000
2015-02-12,^N225,17899.400390625,18005.44921875,17884.33984375,17979.720703125,17979.720703125,181200000
2015-02-13,^N225,17892.099609375,17962.109375,17864.55078125,17913.359375,17913.359375,162000000
2015-02-16,^N225,18024.009765625,18074.259765625,17978.900390625,18004.76953125,18004.76953125,152600000
2015-02-17,^N225,17949.69921875,18009.44921875,17901.259765625,17987.08984375,17987.08984375,142100000
2015-02-18,^N225,18103.98046875,18202.609375,18092.3203125,18199.169921875,18199.169921875,171600000
2015-02-19,^N225,18237.349609375,18322.5,18237.349609375,18264.7890625,18264.7890625,174100000
2015-02-20,^N225,18336.5,18360.919921875,18297.669921875,18332.30078125,18332.30078125,146300000
2015-02-23,^N225,18499.580078125,18509.080078125,18402.01953125,18466.919921875,18466.919921875,157500000
2015-02-24,^N225,18468.390625,18603.48046875,18427.98046875,18603.48046875,18603.48046875,145200000
2015-02-25,^N225,18636.33984375,18648.76953125,18552.810546875,18585.19921875,18585.19921875,139100000
2015-02-26,^N225,18587.869140625,18790.830078125,18587.130859375,18785.7890625,18785.7890625,155500000
2015-02-27,^N225,18844.279296875,18865.390625,18714.640625,18797.939453125,18797.939453125,174700000
2015-03-02,^N225,18869.400390625,18939.169921875,18775.23046875,18826.880859375,18826.880859375,134800000
